"","trip_start_timestamp","pickup_census_tract","dropoff_census_tract","trip_seconds","trip_miles","fare","pickup_census_tract_centroid","dropoff_census_tract_centroid","year","month","weekday","day","time_decimal","type","dropoff_census_tract.1","pickup_centroid_latitude","pickup_centroid_longitude","pickup_census_tract.1","dropoff_centroid_latitude","dropoff_centroid_longitude"
"88","2013-02-07 09:00:00",17031081202,17031080100,240,7,5.05,17031081202,17031080100,2013,2,"Donnerstag",7,9,NA,17031081202,41.902788048,-87.62614559,17031080100,41.907520075,-87.6266589
"89","2013-02-27 09:15:00",17031060400,17031320100,1140,6.4,15.65,17031060400,17031320100,2013,2,"Mittwoch",27,9.25,NA,17031060400,41.950673358,-87.666536281,17031320100,41.884987192,-87.620992913
"90","2013-02-15 09:30:00",17031080100,17031081403,240,1.2,5.65,17031080100,17031081403,2013,2,"Freitag",15,9.5,NA,17031080100,41.907520075,-87.6266589,17031081403,41.890922026,-87.618868355
"91","2013-02-18 09:45:00",17031081401,17031980000,1620,17.6,36.45,17031081401,17031980000,2013,2,"Montag",18,9.75,NA,17031081401,41.89503345,-87.619710672,17031980000,41.97907082,-87.903039661
"92","2013-02-12 10:00:00",17031980000,17031839100,1620,1,35.05,17031980000,17031839100,2013,2,"Dienstag",12,10,NA,17031980000,41.97907082,-87.903039661,17031839100,41.880994471,-87.632746489
"93","2013-02-17 10:15:00",17031081403,17031980000,1290,1.05,36.05,17031081403,17031980000,2013,2,"Sonntag",17,10.25,NA,17031081403,41.890922026,-87.618868355,17031980000,41.97907082,-87.903039661
"94","2013-02-22 10:30:00",17031080201,17031071200,420,0.1,7.25,17031080201,17031071200,2013,2,"Freitag",22,10.5,NA,17031080201,41.909495669,-87.630963601,17031071200,41.921854911,-87.646210977
"95","2013-02-26 10:45:00",17031081100,17031081700,300,0.8,5.25,17031081100,17031081700,2013,2,"Dienstag",26,10.75,NA,17031081100,41.900221297,-87.629105186,17031081700,41.892042136,-87.63186395
"96","2013-02-08 11:00:00",17031839100,17031061000,300,1.02,5.85,17031839100,17031061000,2013,2,"Freitag",8,11,NA,17031839100,41.880994471,-87.632746489,17031061000,41.949220914,-87.651970395
"97","2013-02-08 11:15:00",17031320400,17031062100,840,5.9,15.25,17031320400,17031062100,2013,2,"Freitag",8,11.25,NA,17031320400,41.877406123,-87.621971652,17031062100,41.942691844,-87.651770507
